Pool,Pool Notes,Application,Window,Foreground Begin (Unix Time),Foreground End (Unix Time)
Paper,,Terminal,,"1,493,501,059.23","1,493,501,061.34"
,,Google Chrome,,"1,493,501,062.40","1,493,501,064.50"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,501,062.40","1,493,501,064.50"
Paper,,Google Chrome,,"1,493,501,062.40","1,493,501,064.50"
,,Terminal,,"1,493,501,065.54","1,493,501,099.27"
,,Terminal,paper — bash — 80×24,"1,493,501,065.54","1,493,501,066.59"
Terminal,,,,"1,493,501,065.54","1,493,501,099.27"
Terminal,,Terminal,,"1,493,501,065.54","1,493,501,099.27"
Paper,,Terminal,,"1,493,501,065.54","1,493,501,099.27"
,,Terminal,paper — less — 80×24,"1,493,501,067.65","1,493,501,099.27"
,,Google Chrome,,"1,493,501,100.32","1,493,501,110.86"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,501,100.32","1,493,501,110.86"
Paper,,Google Chrome,,"1,493,501,100.32","1,493,501,110.86"
,,Terminal,,"1,493,501,111.91","1,493,501,141.49"
Terminal,,,,"1,493,501,111.91","1,493,501,141.49"
Terminal,,Terminal,,"1,493,501,111.91","1,493,501,141.49"
Paper,,Terminal,,"1,493,501,111.91","1,493,501,141.49"
,,Terminal,paper — bash — 80×24,"1,493,501,112.96","1,493,501,123.52"
,,Terminal,paper — bash — 80×24,"1,493,501,125.63","1,493,501,141.49"
,,Google Chrome,,"1,493,501,142.54","1,493,501,336.04"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),"1,493,501,142.54","1,493,501,170.90"
Paper,,Google Chrome,,"1,493,501,142.54","1,493,501,336.04"
,,Google Chrome,michaelpalumbo/paper,"1,493,501,171.96","1,493,501,175.12"
,,Google Chrome,michaelpalumbo/paper,"1,493,501,177.22","1,493,501,186.66"
,,Google Chrome,merge Proposal into master by michaelpalumbo · Pull Request #1 · michaelpalumbo/paper,"1,493,501,187.72","1,493,501,202.47"
,,Google Chrome,Contributors to michaelpalumbo/paper,"1,493,501,203.54","1,493,501,208.79"
,,Google Chrome,Commit Activity · michaelpalumbo/paper,"1,493,501,209.86","1,493,501,211.96"
,,Google Chrome,Code frequency · michaelpalumbo/paper,"1,493,501,213.00","1,493,501,215.11"
,,Google Chrome,Network Graph · michaelpalumbo/paper,"1,493,501,217.22","1,493,501,219.33"
,,Google Chrome,Network Members · michaelpalumbo/paper,"1,493,501,220.38","1,493,501,221.42"
,,Google Chrome,Network Dependents · michaelpalumbo/paper,"1,493,501,222.47","1,493,501,224.58"
,,Google Chrome,Contributors to michaelpalumbo/paper,"1,493,501,225.64","1,493,501,226.69"
,,Google Chrome,Pulse · michaelpalumbo/paper,"1,493,501,227.74","1,493,501,229.85"
,,Google Chrome,GitHub · Where software is built,"1,493,501,230.90","1,493,501,232.99"
,,Google Chrome,michaelpalumbo/paper,"1,493,501,234.05","1,493,501,236.14"
,,Google Chrome,New Tab,"1,493,501,237.19","1,493,501,239.29"
,,Google Chrome,Gmail - Free Storage and Email from Google,"1,493,501,240.34","1,493,501,241.40"
,,Google Chrome,Gmail,"1,493,501,243.51","1,493,501,245.62"
,,Google Chrome,Michael Palumbo Mail,"1,493,501,247.72","1,493,501,248.76"
,,Google Chrome,Inbox (97) - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,249.81","1,493,501,255.08"
,,Google Chrome,Paper extension - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,257.20","1,493,501,261.40"
,,Google Chrome,Inbox (97) - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,262.44","1,493,501,267.69"
,,Google Chrome,Search results - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,268.74","1,493,501,272.94"
,,Google Chrome,Re: Paper extension - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,273.99","1,493,501,336.04"
,,Calendar,,"1,493,501,337.09","1,493,501,340.26"
,,Calendar,Calendar,"1,493,501,337.09","1,493,501,340.26"
,,Google Chrome,,"1,493,501,341.30","1,493,501,356.05"
,,Google Chrome,Re: Paper extension - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,341.30","1,493,501,356.05"
Paper,,,,"1,493,501,341.30","1,493,502,740.53"
Paper,,Google Chrome,,"1,493,501,341.30","1,493,501,356.05"
,,TextEdit,,"1,493,501,357.11","1,493,501,369.75"
,,TextEdit,proposal.txt,"1,493,501,357.11","1,493,501,366.60"
Paper,,TextEdit,,"1,493,501,357.11","1,493,501,369.75"
TextEdit,,,,"1,493,501,357.11","1,493,501,369.75"
TextEdit,,TextEdit,,"1,493,501,357.11","1,493,501,369.75"
,,TextEdit,tools.rtf,"1,493,501,367.65","1,493,501,369.75"
,,Finder,,"1,493,501,370.80","1,493,501,372.91"
,,Finder,proposal,"1,493,501,370.80","1,493,501,372.91"
Finder,,,,"1,493,501,370.80","1,493,501,372.91"
Finder,,Finder,,"1,493,501,370.80","1,493,501,372.91"
Paper,,Finder,,"1,493,501,370.80","1,493,501,372.91"
,,TextEdit,,"1,493,501,373.96","1,493,501,426.74"
,,TextEdit,proposal.txt,"1,493,501,373.96","1,493,501,381.33"
Paper,,TextEdit,,"1,493,501,373.96","1,493,501,426.74"
TextEdit,,,,"1,493,501,373.96","1,493,501,426.74"
TextEdit,,TextEdit,,"1,493,501,373.96","1,493,501,426.74"
,,TextEdit,Save,"1,493,501,382.39","1,493,501,405.68"
,,TextEdit,proposal.txt,"1,493,501,406.73","1,493,501,414.12"
,,TextEdit,tools.rtf,"1,493,501,415.17","1,493,501,416.22"
,,TextEdit,scraps.txt,"1,493,501,417.27","1,493,501,419.37"
,,TextEdit,discoveries from this process.txt,"1,493,501,420.42","1,493,501,424.62"
,,TextEdit,Untitled 11,"1,493,501,425.67","1,493,501,426.74"
,,Finder,,"1,493,501,427.78","1,493,501,428.84"
,,Finder,proposal,"1,493,501,427.78","1,493,501,428.84"
Finder,,,,"1,493,501,427.78","1,493,501,428.84"
Finder,,Finder,,"1,493,501,427.78","1,493,501,428.84"
Paper,,Finder,,"1,493,501,427.78","1,493,501,428.84"
,,TextEdit,,"1,493,501,429.89","1,493,501,435.17"
Paper,,TextEdit,,"1,493,501,429.89","1,493,501,435.17"
TextEdit,,,,"1,493,501,429.89","1,493,501,435.17"
TextEdit,,TextEdit,,"1,493,501,429.89","1,493,501,435.17"
,,TextEdit,Untitled 11,"1,493,501,433.05","1,493,501,435.17"
,,Finder,,"1,493,501,436.24","1,493,501,444.67"
,,Finder,paper,"1,493,501,436.24","1,493,501,442.58"
Finder,,,,"1,493,501,436.24","1,493,501,444.67"
Finder,,Finder,,"1,493,501,436.24","1,493,501,444.67"
Paper,,Finder,,"1,493,501,436.24","1,493,501,444.67"
,,Finder,proposal,"1,493,501,443.63","1,493,501,444.67"
,,Terminal,,"1,493,501,445.73","1,493,501,492.14"
,,Terminal,paper — bash — 80×24,"1,493,501,445.73","1,493,501,482.67"
Terminal,,,,"1,493,501,445.73","1,493,501,492.14"
Terminal,,Terminal,,"1,493,501,445.73","1,493,501,492.14"
Paper,,Terminal,,"1,493,501,445.73","1,493,501,492.14"
,,Terminal,paper — git — 80×24,"1,493,501,484.78","1,493,501,485.83"
,,Terminal,paper — bash — 80×24,"1,493,501,486.89","1,493,501,492.14"
,,Google Chrome,,"1,493,501,493.20","1,493,501,514.28"
,,Google Chrome,Re: Paper extension - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,493.20","1,493,501,514.28"
Paper,,Google Chrome,,"1,493,501,493.20","1,493,501,514.28"
,,Finder,,"1,493,501,515.32","1,493,501,517.44"
,,Finder,proposal,"1,493,501,515.32","1,493,501,517.44"
Finder,,,,"1,493,501,515.32","1,493,501,517.44"
Finder,,Finder,,"1,493,501,515.32","1,493,501,517.44"
Paper,,Finder,,"1,493,501,515.32","1,493,501,517.44"
,,Google Chrome,,"1,493,501,518.49","1,493,501,534.28"
,,Google Chrome,Re: Paper extension - info@palumbomichael.com - Michael Palumbo Mail,"1,493,501,518.49","1,493,501,534.28"
Paper,,Google Chrome,,"1,493,501,518.49","1,493,501,534.28"
,,Scrivener,,"1,493,501,535.33","1,493,501,537.43"
Paper,,Scrivener,,"1,493,501,535.33","1,493,501,537.43"
,,Scrivener,"Version Control, Social Systems, and Performance - Untitled","1,493,501,536.38","1,493,501,537.43"
,,Terminal,,"1,493,501,538.48","1,493,501,539.53"
,,Terminal,paper — bash — 80×24,"1,493,501,538.48","1,493,501,539.53"
Terminal,,,,"1,493,501,538.48","1,493,501,539.53"
Terminal,,Terminal,,"1,493,501,538.48","1,493,501,539.53"
Paper,,Terminal,,"1,493,501,538.48","1,493,501,539.53"
,,Scrivener,,"1,493,501,541.63","1,493,501,551.09"
,,Scrivener,"Version Control, Social Systems, and Performance - Untitled","1,493,501,541.63","1,493,501,551.09"
Paper,,Scrivener,,"1,493,501,541.63","1,493,501,551.09"
,,Google Chrome,,"1,493,501,552.16","1,493,501,813.37"
Paper,,Google Chrome,,"1,493,501,552.16","1,493,501,813.37"
,,Google Chrome,michaelpalumbo/paper,"1,493,501,553.20","1,493,501,554.25"
,,Google Chrome,New Tab,"1,493,501,555.30","1,493,501,558.44"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,501,560.57","1,493,501,586.82"
,,Google Chrome,michaelpalumbo/paper,"1,493,501,588.93","1,493,501,595.24"
,,Google Chrome,Options,"1,493,501,596.29","1,493,501,597.34"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,501,598.40","1,493,501,601.55"
,,Google Chrome,Options,"1,493,501,602.61","1,493,501,604.72"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,501,605.77","1,493,501,606.83"
,,Google Chrome,Options,"1,493,501,607.88","1,493,501,611.03"
,,Google Chrome,Choose a theme,"1,493,501,612.09","1,493,501,618.39"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,501,619.43","1,493,501,622.59"
,,Google Chrome,Choose a theme,"1,493,501,623.64","1,493,501,716.33"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,501,717.38","1,493,501,724.75"
,,Google Chrome,Choose a theme,"1,493,501,725.80","1,493,501,784.83"
,,Google Chrome,Editing paper/README.md at master · michaelpalumbo/paper,"1,493,501,785.91","1,493,501,813.37"
,,TextEdit,,"1,493,501,814.43","1,493,501,846.08"
,,TextEdit,Untitled 12,"1,493,501,814.43","1,493,501,816.52"
Paper,,TextEdit,,"1,493,501,814.43","1,493,501,846.08"
TextEdit,,,,"1,493,501,814.43","1,493,501,846.08"
TextEdit,,TextEdit,,"1,493,501,814.43","1,493,501,846.08"
,,TextEdit,Save,"1,493,501,818.63","1,493,501,819.68"
,,TextEdit,Save,"1,493,501,821.78","1,493,501,843.97"
,,TextEdit,github_page_ref.md,"1,493,501,845.02","1,493,501,846.08"
,,Google Chrome,,"1,493,501,847.14","1,493,501,869.26"
,,Google Chrome,Editing paper/README.md at master · michaelpalumbo/paper,"1,493,501,847.14","1,493,501,869.26"
Paper,,Google Chrome,,"1,493,501,847.14","1,493,501,869.26"
,,TextEdit,,"1,493,501,870.32","1,493,501,875.61"
,,TextEdit,github_page_ref.md,"1,493,501,870.32","1,493,501,874.55"
Paper,,TextEdit,,"1,493,501,870.32","1,493,501,875.61"
TextEdit,,,,"1,493,501,870.32","1,493,501,875.61"
TextEdit,,TextEdit,,"1,493,501,870.32","1,493,501,875.61"
,,Google Chrome,,"1,493,501,876.66","1,493,501,918.91"
,,Google Chrome,Editing paper/README.md at master · michaelpalumbo/paper,"1,493,501,876.66","1,493,501,918.91"
Paper,,Google Chrome,,"1,493,501,876.66","1,493,501,918.91"
,,TextEdit,,"1,493,501,921.01","1,493,501,931.53"
Paper,,TextEdit,,"1,493,501,921.01","1,493,501,931.53"
TextEdit,,,,"1,493,501,921.01","1,493,501,931.53"
TextEdit,,TextEdit,,"1,493,501,921.01","1,493,501,931.53"
,,TextEdit,proposal.txt,"1,493,501,922.06","1,493,501,931.53"
,,Google Chrome,,"1,493,501,932.59","1,493,502,730.10"
,,Google Chrome,Editing paper/README.md at master · michaelpalumbo/paper,"1,493,501,932.59","1,493,501,987.50"
Paper,,Google Chrome,,"1,493,501,932.59","1,493,502,730.10"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,501,988.56","1,493,501,993.82"
,,Google Chrome,Editing paper/README.md at master · michaelpalumbo/paper,"1,493,501,994.88","1,493,502,317.16"
,,Google Chrome,paper/README.md at master · michaelpalumbo/paper,"1,493,502,319.28","1,493,502,323.50"
,,Google Chrome,Editing paper/README.md at master · michaelpalumbo/paper,"1,493,502,324.56","1,493,502,346.70"
,,Google Chrome,paper/README.md at master · michaelpalumbo/paper,"1,493,502,347.76","1,493,502,349.87"
,,Google Chrome,michaelpalumbo (Michael Palumbo),"1,493,502,350.91","1,493,502,351.97"
,,Google Chrome,michaelpalumbo/paper,"1,493,502,355.13","1,493,502,403.77"
,,Google Chrome,Options,"1,493,502,404.83","1,493,502,405.89"
,,Google Chrome,michaelpalumbo/paper,"1,493,502,406.95","1,493,502,420.66"
,,Google Chrome,New Tab,"1,493,502,421.73","1,493,502,429.15"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,502,430.20","1,493,502,432.31"
,,Google Chrome,New Tab,"1,493,502,433.36","1,493,502,441.81"
,,Google Chrome,Background,"1,493,502,442.87","1,493,502,461.86"
,,Google Chrome,michaelpalumbo/paper,"1,493,502,462.92","1,493,502,472.39"
,,Google Chrome,"GitHub Pages | Websites for you and your projects, hosted directly from your GitHub repository. Just edit, push, and your changes are live.","1,493,502,473.46","1,493,502,491.49"
,,Google Chrome,Re: Paper extension - info@palumbomichael.com - Michael Palumbo Mail,"1,493,502,492.54","1,493,502,493.59"
,,Google Chrome,Inbox (96) - info@palumbomichael.com - Michael Palumbo Mail,"1,493,502,494.63","1,493,502,516.76"
,,Google Chrome,Fwd: [Cacslist] CFP - Archive/Anarchive/Counter-Archive (Public #57) - info@palumbomichael.com - Michael Palumbo Mail,"1,493,502,517.81","1,493,502,611.86"
,,Google Chrome,New Tab,"1,493,502,612.91","1,493,502,619.26"
,,Google Chrome,googe drive - Google Search,"1,493,502,620.31","1,493,502,621.37"
,,Google Chrome,"Google Drive - Cloud Storage & File Backup for Photos, Docs & More","1,493,502,622.43","1,493,502,625.60"
,,Google Chrome,My Drive - Google Drive,"1,493,502,627.71","1,493,502,628.77"
,,Google Chrome,Untitled,"1,493,502,631.92","1,493,502,636.15"
,,Google Chrome,Fwd: [Cacslist] CFP - Archive/Anarchive/Counter-Archive (Public #57) - info@palumbomichael.com - Michael Palumbo Mail,"1,493,502,637.20","1,493,502,642.52"
,,Google Chrome,Conferences - Google Sheets,"1,493,502,643.59","1,493,502,715.35"
,,Google Chrome,Conferences - Google Sheets,"1,493,502,718.53","1,493,502,719.60"
,,Google Chrome,Background,"1,493,502,728.01","1,493,502,730.10"
,,Terminal,,"1,493,502,733.22","1,493,502,734.27"
,,Terminal,paper — bash — 80×24,"1,493,502,733.22","1,493,502,734.27"
Terminal,,,,"1,493,502,733.22","1,493,502,734.27"
Terminal,,Terminal,,"1,493,502,733.22","1,493,502,734.27"
Paper,,Terminal,,"1,493,502,733.22","1,493,502,734.27"
,,Google Chrome,,"1,493,502,735.31","1,493,502,737.39"
,,Google Chrome,Background,"1,493,502,735.31","1,493,502,737.39"
Paper,,Google Chrome,,"1,493,502,735.31","1,493,502,737.39"
,,Evernote,,"1,493,502,738.44","1,493,502,739.48"
Paper,,Evernote,,"1,493,502,738.44","1,493,502,739.48"
,,Google Chrome,,"1,493,502,742.62","1,493,502,759.42"
,,Google Chrome,Background,"1,493,502,742.62","1,493,502,759.42"
Paper,,,,"1,493,502,742.62","1,493,502,759.42"
Paper,,Google Chrome,,"1,493,502,742.62","1,493,502,759.42"
,,Terminal,,"1,493,575,423.44","1,493,575,504.62"
,,Terminal,paper — bash — 80×24,"1,493,575,423.44","1,493,575,504.62"
Terminal,,,,"1,493,575,423.44","1,493,575,504.62"
Terminal,,Terminal,,"1,493,575,423.44","1,493,575,504.62"
Paper,,,,"1,493,575,423.44","1,493,581,044.30"
Paper,,Terminal,,"1,493,575,423.44","1,493,575,504.62"
,,TextEdit,,"1,493,575,505.61","1,493,576,797.93"
,,TextEdit,version_control.txt,"1,493,575,505.61","1,493,575,518.49"
Paper,,TextEdit,,"1,493,575,505.61","1,493,576,797.93"
TextEdit,,,,"1,493,575,505.61","1,493,576,797.93"
TextEdit,,TextEdit,,"1,493,575,505.61","1,493,576,797.93"
,,TextEdit,proposal.txt,"1,493,575,519.48","1,493,575,534.32"
,,TextEdit,version_control.txt,"1,493,575,535.31","1,493,576,797.93"
,,Google Chrome,,"1,493,576,798.92","1,493,576,815.73"
Paper,,Google Chrome,,"1,493,576,798.92","1,493,576,815.73"
,,Google Chrome,New Tab,"1,493,576,799.91","1,493,576,801.89"
,,Google Chrome,data-analytic - Google Search,"1,493,576,803.86","1,493,576,811.77"
,,Google Chrome,"""data-analytic"" - Google Search","1,493,576,812.76","1,493,576,815.73"
,,TextEdit,,"1,493,576,816.71","1,493,576,913.63"
,,TextEdit,version_control.txt,"1,493,576,816.71","1,493,576,913.63"
Paper,,TextEdit,,"1,493,576,816.71","1,493,576,913.63"
TextEdit,,,,"1,493,576,816.71","1,493,576,913.63"
TextEdit,,TextEdit,,"1,493,576,816.71","1,493,576,913.63"
,,Scrivener,,"1,493,576,914.61","1,493,576,986.76"
,,Scrivener,"Version Control, Social Systems, and Performance - draft 4","1,493,576,914.61","1,493,576,919.56"
Paper,,Scrivener,,"1,493,576,914.61","1,493,576,986.76"
,,Scrivener,"Version Control, Social Systems, and Performance - Collaborative Creativity: A Complex Systems Model with Distributed Affect” (Aragon and Williams)","1,493,576,920.55","1,493,576,921.53"
,,Scrivener,"Version Control, Social Systems, and Performance - Distributed Creativity (Book)","1,493,576,922.52","1,493,576,926.48"
,,Scrivener,"Version Control, Social Systems, and Performance - key points","1,493,576,927.46","1,493,576,929.45"
,,Scrivener,"Version Control, Social Systems, and Performance - on individualism","1,493,576,930.43","1,493,576,931.42"
,,Scrivener,"Version Control, Social Systems, and Performance - paradigms","1,493,576,932.41","1,493,576,933.40"
,,Scrivener,"Version Control, Social Systems, and Performance - co-evolution","1,493,576,935.37","1,493,576,941.30"
,,Scrivener,"Version Control, Social Systems, and Performance - models","1,493,576,942.28","1,493,576,948.20"
,,Scrivener,"Version Control, Social Systems, and Performance - Distributed Creaivity: How Collective Creations Emerge from Collaboration","1,493,576,949.19","1,493,576,952.14"
,,Scrivener,"Version Control, Social Systems, and Performance - Collaborative Creativity: A Complex Systems Model with Distributed Affect” (Aragon and Williams)","1,493,576,953.13","1,493,576,954.12"
,,Scrivener,"Version Control, Social Systems, and Performance - notes on ""latent social structure in oss projects""","1,493,576,956.09","1,493,576,961.04"
,,Scrivener,Find,"1,493,576,962.02","1,493,576,964.99"
,,Scrivener,"Version Control, Social Systems, and Performance - notes on ""latent social structure in oss projects""","1,493,576,965.98","1,493,576,971.92"
,,Scrivener,Find,"1,493,576,972.91","1,493,576,973.90"
,,Scrivener,"Version Control, Social Systems, and Performance - notes on ""latent social structure in oss projects""","1,493,576,974.89","1,493,576,986.76"
,,TextEdit,,"1,493,576,987.75","1,493,577,133.26"
,,TextEdit,version_control.txt,"1,493,576,987.75","1,493,577,133.26"
Paper,,TextEdit,,"1,493,576,987.75","1,493,577,133.26"
TextEdit,,,,"1,493,576,987.75","1,493,577,133.26"
TextEdit,,TextEdit,,"1,493,576,987.75","1,493,577,133.26"
,,Terminal,,"1,493,577,134.24","1,493,577,324.29"
,,Terminal,paper — bash — 80×24,"1,493,577,134.24","1,493,577,324.29"
Terminal,,,,"1,493,577,134.24","1,493,577,324.29"
Terminal,,Terminal,,"1,493,577,134.24","1,493,577,324.29"
Paper,,Terminal,,"1,493,577,134.24","1,493,577,324.29"
,,TextEdit,,"1,493,577,325.28","1,493,577,345.06"
,,TextEdit,version_control.txt,"1,493,577,325.28","1,493,577,345.06"
Paper,,TextEdit,,"1,493,577,325.28","1,493,577,345.06"
TextEdit,,,,"1,493,577,325.28","1,493,577,345.06"
TextEdit,,TextEdit,,"1,493,577,325.28","1,493,577,345.06"
,,Scrivener,,"1,493,577,346.06","1,493,577,403.48"
Paper,,Scrivener,,"1,493,577,346.06","1,493,577,403.48"
,,Scrivener,"Version Control, Social Systems, and Performance - Untitled","1,493,577,347.05","1,493,577,365.87"
,,Scrivener,"Version Control, Social Systems, and Performance - Untitled","1,493,577,367.85","1,493,577,371.81"
,,Scrivener,"Version Control, Social Systems, and Performance - VCS Section","1,493,577,372.79","1,493,577,403.48"
,,TextEdit,,"1,493,577,404.47","1,493,577,653.82"
,,TextEdit,version_control.txt,"1,493,577,404.47","1,493,577,536.03"
Paper,,TextEdit,,"1,493,577,404.47","1,493,577,653.82"
TextEdit,,,,"1,493,577,404.47","1,493,577,653.82"
TextEdit,,TextEdit,,"1,493,577,404.47","1,493,577,653.82"
,,TextEdit,proposal.txt,"1,493,577,537.02","1,493,577,541.97"
,,TextEdit,version_control.txt,"1,493,577,542.96","1,493,577,653.82"
,,Terminal,,"1,493,577,654.81","1,493,577,957.78"
,,Terminal,paper — bash — 80×24,"1,493,577,654.81","1,493,577,957.78"
Terminal,,,,"1,493,577,654.81","1,493,577,957.78"
Terminal,,Terminal,,"1,493,577,654.81","1,493,577,957.78"
Paper,,Terminal,,"1,493,577,654.81","1,493,577,957.78"
,,TextEdit,,"1,493,577,958.78","1,493,578,160.70"
,,TextEdit,version_control.txt,"1,493,577,958.78","1,493,578,160.70"
Paper,,TextEdit,,"1,493,577,958.78","1,493,578,160.70"
TextEdit,,,,"1,493,577,958.78","1,493,578,160.70"
TextEdit,,TextEdit,,"1,493,577,958.78","1,493,578,160.70"
,,Dictionary,,"1,493,578,161.70","1,493,578,177.54"
Paper,,Dictionary,,"1,493,578,161.70","1,493,578,177.54"
,,Dictionary,Dictionary (2 found),"1,493,578,163.67","1,493,578,177.54"
,,TextEdit,,"1,493,578,178.53","1,493,578,215.18"
,,TextEdit,version_control.txt,"1,493,578,178.53","1,493,578,215.18"
Paper,,TextEdit,,"1,493,578,178.53","1,493,578,215.18"
TextEdit,,,,"1,493,578,178.53","1,493,578,215.18"
TextEdit,,TextEdit,,"1,493,578,178.53","1,493,578,215.18"
,,Scrivener,,"1,493,578,216.17","1,493,578,220.13"
,,Scrivener,"Version Control, Social Systems, and Performance - VCS Section","1,493,578,216.17","1,493,578,220.13"
Paper,,Scrivener,,"1,493,578,216.17","1,493,578,220.13"
,,TextEdit,,"1,493,578,221.12","1,493,578,311.24"
Paper,,TextEdit,,"1,493,578,221.12","1,493,578,311.24"
TextEdit,,,,"1,493,578,221.12","1,493,578,311.24"
TextEdit,,TextEdit,,"1,493,578,221.12","1,493,578,311.24"
,,TextEdit,proposal.txt,"1,493,578,222.11","1,493,578,234.96"
,,TextEdit,version_control.txt,"1,493,578,235.95","1,493,578,311.24"
,,Terminal,,"1,493,578,312.23","1,493,578,387.56"
,,Terminal,paper — bash — 80×24,"1,493,578,312.23","1,493,578,387.56"
Terminal,,,,"1,493,578,312.23","1,493,578,387.56"
Terminal,,Terminal,,"1,493,578,312.23","1,493,578,387.56"
Paper,,Terminal,,"1,493,578,312.23","1,493,578,387.56"
,,TextEdit,,"1,493,578,388.55","1,493,578,395.49"
,,TextEdit,version_control.txt,"1,493,578,388.55","1,493,578,395.49"
Paper,,TextEdit,,"1,493,578,388.55","1,493,578,395.49"
TextEdit,,,,"1,493,578,388.55","1,493,578,395.49"
TextEdit,,TextEdit,,"1,493,578,388.55","1,493,578,395.49"
,,Google Chrome,,"1,493,578,396.47","1,493,578,979.42"
Paper,,Google Chrome,,"1,493,578,396.47","1,493,578,979.42"
,,Google Chrome,New Tab,"1,493,578,397.46","1,493,578,406.38"
,,Google Chrome,latex for performance studies paper - Google Search,"1,493,578,407.37","1,493,578,432.14"
,,Google Chrome,document preparation for theatre and performance studies - Google Search,"1,493,578,433.13","1,493,578,441.06"
,,Google Chrome,New Tab,"1,493,578,442.05","1,493,578,443.04"
,,Google Chrome,Facebook,"1,493,578,445.01","1,493,578,454.92"
,,Google Chrome,(12) Facebook,"1,493,578,455.90","1,493,578,461.83"
,,Google Chrome,(12) york graduate studies in theatre and performance studies – Facebook Search,"1,493,578,462.82","1,493,578,468.75"
,,Google Chrome,(12) York Graduate Studies in Theatre and Performance Studies,"1,493,578,469.74","1,493,578,484.57"
,,Google Chrome,document preparation for theatre and performance studies - Google Search,"1,493,578,485.56","1,493,578,492.50"
,,Google Chrome,document preparation system - Google Search,"1,493,578,493.49","1,493,578,502.40"
,,Google Chrome,LaTeX - Wikipedia,"1,493,578,503.39","1,493,578,513.31"
,,Google Chrome,Typesetting - Wikipedia,"1,493,578,514.30","1,493,578,545.02"
,,Google Chrome,(12) York Graduate Studies in Theatre and Performance Studies,"1,493,578,546.01","1,493,578,716.09"
,,Google Chrome,document preparation system for social science - Google Search,"1,493,578,717.07","1,493,578,725.98"
,,Google Chrome,document preparation system for humanities - Google Search,"1,493,578,726.98","1,493,578,737.86"
,,Google Chrome,LaTeX - A document preparation system,"1,493,578,738.84","1,493,578,746.76"
,,Google Chrome,Introduction to LaTeX,"1,493,578,748.74","1,493,578,792.34"
,,Google Chrome,New Tab,"1,493,578,793.33","1,493,578,794.32"
,,Google Chrome,Facebook,"1,493,578,796.30","1,493,578,803.24"
,,Google Chrome,(12) Facebook,"1,493,578,804.23","1,493,578,828.98"
,,Google Chrome,New Tab,"1,493,578,829.97","1,493,578,837.88"
,,Google Chrome,Michael Palumbo Mail,"1,493,578,838.87","1,493,578,839.86"
,,Google Chrome,Inbox (96) - info@palumbomichael.com - Michael Palumbo Mail,"1,493,578,840.85","1,493,578,848.76"
,,Google Chrome,Fwd: [Cacslist] CFP - Archive/Anarchive/Counter-Archive (Public #57) - info@palumbomichael.com - Michael Palumbo Mail,"1,493,578,849.75","1,493,578,856.68"
,,Google Chrome,Untitled,"1,493,578,857.67","1,493,578,858.66"
,,Google Chrome,Public Journal,"1,493,578,860.64","1,493,578,865.58"
,,Google Chrome,» SUBMISSIONS Public Journal,"1,493,578,866.57","1,493,578,869.54"
,,Google Chrome,Public Journal,"1,493,578,870.53","1,493,578,872.51"
,,Google Chrome,» Guidelines for Final Copy Public Journal,"1,493,578,873.50","1,493,578,883.39"
,,Google Chrome,Microsoft Word - PUBLIC Style Sheet Sept13.docx,"1,493,578,885.37","1,493,578,969.52"
,,Google Chrome,» Guidelines for Final Copy Public Journal,"1,493,578,970.52","1,493,578,979.42"
,,TextEdit,,"1,493,578,980.42","1,493,578,991.32"
,,TextEdit,Metadata-form-for-PUBLIC.docx,"1,493,578,980.42","1,493,578,984.38"
Paper,,TextEdit,,"1,493,578,980.42","1,493,578,991.32"
TextEdit,,,,"1,493,578,980.42","1,493,578,991.32"
TextEdit,,TextEdit,,"1,493,578,980.42","1,493,578,991.32"
,,TextEdit,version_control.txt,"1,493,578,985.37","1,493,578,991.32"
,,Google Chrome,,"1,493,578,992.31","1,493,579,211.22"
,,Google Chrome,» Guidelines for Final Copy Public Journal,"1,493,578,992.31","1,493,579,000.25"
Paper,,Google Chrome,,"1,493,578,992.31","1,493,579,211.22"
